ID,Agglo00_No,Name,Agglo_Klasse_ARE
1,121,Wetzikon - Pf�ffikon,K
2,230,Winterthur,M
3,261,Z�rich,G
4,351,Bern,G
5,371,Biel/Bienne,M
6,404,Burgdorf,K
7,581,Interlaken,K
8,942,Thun,M
9,1061,Luzern,M
10,1344,Lachen,K
11,1372,Schwyz,K
12,1509,Stans,K
13,1711,Zug,M
14,2125,Bulle,K
15,2196,Fribourg,M
16,2546,Grenchen,K
17,2581,Olten-Zofingen,M
18,2601,Solothurn,M
19,2701,Basel,G
20,2939,Schaffhausen,M
21,3203,St. Gallen,M
22,3231,Heerbrugg-Altst�tten,K
23,3271,Werdenberg-Liechtenstein,K
24,3336,Rapperswil-Jona-R�ti,K
25,3425,Wil,M
26,3787,St. Moritz,K
27,3901,Chur,M
28,4001,Aarau,M
29,4021,Baden-Brugg,M
30,4082,Wohlen,K
31,4201,Lenzburg,K
32,4401,Arbon-Rorschach,M
33,4436,Amriswil-Romanshorn,K
34,4566,Frauenfeld,K
35,4671,Kreuzlingen,K
36,5002,Bellinzona,K
37,5113,Locarno,M
38,5192,Lugano,M
39,5250,Chiasso-Mendrisio,K
40,5586,Lausanne,G
41,5890,Vevey-Montreux,M
42,5938,Yverdon-les-Bains,K
43,6002,Brig-Visp,K
44,6153,Monthey-Aigle,K
45,6248,Sierre-Montana,K
46,6266,Sion,M
47,6421,La-Chaux-de-Fonds-Le Locle,K
48,6458,Neuch�tel,M
49,6621,Gen�ve,G
50,6711,Del�mont,K
