Agglomération;Echantillon;Total;Total (+/-);Mobilité douce;Mobilité douce (+/-);Transport individuel motorisé;Transport individuel motorisé (+/-);Transports publics;Transports publics (+/-);Autres;Autres (+/-)
Suisse;57090;36.83175306457636;0.4602142135149309;2.803083657859935;0.04404321361908783;24.354328295524017;0.37905826406955134;8.987126109947825;0.2798073279097846;0.6872150012445857;0.09065163865274804
Agglomération Bellinzona;564;32.76940641854862;4.178979608554494;2.340685271235013;0.30015464093415767;23.389423722963638;3.1414731047080324;6.736745752946551;2.789231948541555;0.30255167140341654;0.36698570537183833
Agglomération Rheintal (CH);572;40.05733912876914;5.769414153627578;2.882448654097314;0.4606748460669577;32.080801655530976;5.475810516806099;3.744030047405826;1.5586390052335515;1.3500587717350174;1.442668957138758
Agglomération Genève (CH);5456;25.641235118072778;1.2721797518641753;2.8145799157564944;0.1327755169161833;16.79138305791846;1.0923217247551895;5.718282661926985;0.6802052808773967;0.3169894824708405;0.18613485236878358
Agglomération St. Gallen;661;30.164451780561734;3.285430649643093;3.0821117493065926;0.39756166179936747;19.398069278098614;2.717299282039785;7.613821078860319;1.9678668863742894;0.07044967429621432;0.05244759883616153
Agglomération Chur;593;40.77753324129079;5.22479986664075;3.207596190751091;0.3677113810691678;25.887093453483725;3.9937291743839265;9.847761704094045;3.151399082090078;1.8350818929619375;1.343149232746011
Agglomération Basel (CH);3452;31.989978689588817;1.7840027383818744;3.1014644150437523;0.1634582379134664;18.394809423328564;1.437290258121156;9.845226423947699;1.1204307746182751;0.6484784272688003;0.3457296491710369
Agglomération Zürich;5453;34.52851705390401;1.3235454940378653;2.9863204707554116;0.1370517430471023;19.849674100583297;1.047991442811571;10.885385659645719;0.8733372339370107;0.8071368229195809;0.3028795641996472
Agglomération Yverdon-les-Bains;379;36.59565955345695;5.8280164558367185;2.585999682391577;0.48082128935403845;26.764336158132913;5.078071442141064;6.227543997038323;2.3613662178198656;1.0177797158941322;2.190700777279551
Agglomération Wil (SG);611;38.25431762283247;4.677481632829281;2.4253680721858153;0.3071697137013019;26.11472900671937;3.790737342030327;9.649623946164263;3.0510991089908837;0.06459659776301906;0.043302688180459264
Centre hors des agglomération Davos;57;48.997956256052994;19.08691529065934;3.0543875873672186;0.9837785400601421;33.484733112557656;16.63478915427433;6.748663210178066;6.209545353321566;5.710172345950047;9.310429315689767
Agglomération Baden - Brugg;805;35.699293925759235;3.8127394155471452;3.1145974793264743;0.42370092460766057;22.059658054666663;3.1253244931038138;10.319963830443776;2.5197096586143837;0.20507456132232085;0.2530326610646871
Agglomération Olten - Zofingen;766;37.722813481071974;3.925777688597859;2.661652561037091;0.27297754594273704;21.36024903534214;2.6577322421713583;13.277864649259804;3.184352076291182;0.4230472354329315;0.5126478784731812
Agglomération Vevey - Montreux;744;37.141837280357315;3.813135216540881;2.4167298628865237;0.2808744579478133;26.800713667514508;3.462830660704801;7.40985285567876;1.798206945204633;0.5145408942775247;0.7474531083597883
Agglomération Delémont (CH);493;39.66234416864669;5.612204164014671;2.6168934046555226;0.6634611067273664;26.701484643867243;4.585139774346002;9.247660093531024;3.1277917533410924;1.0963060265929003;1.1280390182692197
Agglomération Winterthur;882;37.84431935648596;3.433452888035459;3.4865682696324605;0.38830315749452166;21.77490530471366;2.9239655840092076;12.485715338109756;2.234593404164589;0.09713044403008673;0.06541950036781304
Centre hors des agglomération Mels - Sargans;68;45.340000411596336;14.27698076226554;2.890687385388379;1.0919467428176786;26.134489880932833;8.87605610625337;15.013357660478047;11.831294393833952;1.3014654847970721;1.5467435108819882
Agglomération Sion;654;37.74414361305347;4.835219240789303;2.2033448391154726;0.3127026815792594;27.599010643157747;4.107578832401063;5.999645057192105;2.2744226555377964;1.9421430735881413;1.4282560308573289
Agglomération Aarau;729;39.5739409722353;4.267729572773577;3.3555469749318902;0.38341368046199914;21.085654638632896;2.7284331493468765;13.936859156980969;3.4040412224288583;1.1958802016895467;1.2361736531022844
Agglomération Bulle;492;43.993273707807106;6.020190429966863;2.6150843602091447;0.47333138783062506;34.29746297715117;5.358176673008101;5.247680424700246;2.4288720101661436;1.8330459457465476;1.600885529823747
Agglomération Locarno (CH);520;26.703874129486472;3.7512736580894877;2.420861765153704;0.32143805113125357;20.542449429844897;3.3049850144391657;3.692500559930984;1.8881049518718866;0.048062374556891586;0.06958415152475723
Agglomération Solothurn;878;37.481350641311415;3.4387048213520806;2.9040430936919868;0.36542295171717254;25.216860476384863;2.7766875336540133;9.152275845499505;2.291780354853763;0.20817122573506605;0.16891244882105594
Agglomération Neuchâtel;1320;41.95053674210522;3.252091820128182;2.694497570876031;0.32025825219277243;30.078616259518878;2.8935459522838434;8.243835255668987;1.740065094825867;0.9335876560413301;0.5606409826285746
Agglomération Bern;1490;39.29656051958719;3.102469915004553;3.5664204756346423;0.40088519534937705;21.863634110268077;2.376628285043671;13.413320528726409;2.1833689486955787;0.4531854049580594;0.33032539749758205
Agglomération Arbon - Rorschach;527;38.82965576759525;4.898104308496026;2.7894680308204136;0.40482773360415814;29.67274870379982;4.452543176475053;5.626236942344134;2.1945036524423562;0.7412020906308833;1.0802017977870655
Agglomération Luzern;1768;34.900797268290596;2.3830359739070617;3.274684041507007;0.2736957836456121;21.6178232723106;1.9754829227225357;9.064288023756662;1.3870631578300177;0.9440019307163298;0.563928090622512
Agglomération Martigny;250;35.006764847398166;6.763514281389531;1.9128339919679387;0.3658578474383984;24.735428818474464;5.038997771828769;8.148086025127853;4.985721962729541;0.2104160118279075;0.2578775992519366
Agglomération Biel/Bienne;576;33.40242824820646;4.660237864946152;3.2045172509561506;0.48339407695524256;18.170519018964068;2.9997311612833353;11.557232053367356;3.8401276710148906;0.4701599249188884;0.43804497560592565
Agglomération La Chaux-de-Fonds - Le Locle (CH);1068;31.435281687441595;3.3517370033539815;2.2320430701976446;0.3413700360468527;24.017984674350014;3.0536043542684865;5.005913064956675;1.4579380902429764;0.17934087793726466;0.15667569645546864
Agglomération Schaffhausen (CH);667;38.82205045161839;5.251971476742213;2.490000355522981;0.3268818432290155;24.388346287117166;4.366464747537167;10.711851191280566;3.0884924954820736;1.2318526176976867;1.0334856263655037
Agglomération Buchs (SG) (CH);323;40.094824222531464;7.463219125394946;3.3028361944009825;0.6076208667819807;29.937749002956743;6.650688157716745;6.793344024198109;3.5495144438132904;0.060895000975628714;0.08014880993692249
Centre hors des agglomération Porrentruy;62;31.480086908361855;11.016668055756826;1.7656456424256868;0.7792367623928123;21.949034133166656;7.923176612970754;7.75958460888172;7.331641156997386;0.005822523887788738;0.012898243239503341
Agglomération Lausanne;2553;36.200261205129344;2.1100771840638215;2.305636118594512;0.1622894355677486;24.928260869770476;1.799314833390656;8.506944234440864;1.2374735572435813;0.45941998232349635;0.28848440547004095
Agglomération Altdorf (UR);267;35.24247581866595;5.546326626591995;3.6297279184677076;0.8005392598703965;20.324503992926395;3.813048181498597;10.011217436390554;3.853732824074366;1.2770264708812953;1.248715423162697
Agglomération Rapperswil-Jona - Rüti;581;38.811701396112134;4.650832308920581;3.4969466063929375;0.471140794649133;18.80591059385527;2.8910532684660613;15.580377597468472;3.8271003750209722;0.928466598395454;0.8858282301623832
Agglomération Fribourg;1130;40.723093723749265;3.4899176358981503;2.3543453590393084;0.27754789445676953;26.7778332339631;2.6760230506619567;10.568910981878103;2.339230018752206;1.0220041488687526;0.9033017940614533
Agglomération Thun;463;40.59099331688376;5.424019772877523;3.4558933988603164;0.4913115687498763;25.214239982641924;4.367299810930779;11.470713169522744;3.58617825335811;0.45014676585877444;0.36669334490906785
Centre hors des agglomération Burgdorf;172;41.76656688530278;9.2046993938509;4.241029650715404;0.9886870948055745;20.24281076090687;6.504200142542136;17.18405810576248;7.36500629711024;0.0986683679180179;0.10323038009195679
Centre hors des agglomération Stans;222;37.26899219603698;7.153559833247813;2.8216553297645883;0.5848970645916828;25.676375551463956;6.003627601156408;8.600344731439375;4.643270935246763;0.17061658336906185;0.16071844541523242
Agglomération Chiasso - Mendrisio (CH);568;30.607751929728057;4.823140524243299;1.8287820347945407;0.4738839076098651;21.086395868359325;3.280959382912058;7.505809750784835;3.5852104699558525;0.18676427578935467;0.18653689718520733
Centre hors des agglomération Schwyz;197;32.59853079546924;6.505679741221503;3.133866808738953;0.965616774391501;22.126252181346842;5.9963468515013645;6.814737753655178;3.3392470866357264;0.5236740517282633;0.5410421143988264
Centre hors des agglomération Lyss;48;44.42998189660255;20.518442703133235;2.320247115606066;1.0709963423319984;31.530331637240266;20.626319868200518;10.579403143756211;7.058978996977752;0.0;0.0
Agglomération Grenchen;365;35.5384565620525;6.063412727220184;2.605957130631192;0.4784859942005978;26.708511353831344;5.614331253697957;6.09613869990361;2.5527229033350047;0.12784937768635174;0.14873516570231854
Agglomération Glarus;240;39.40933144790451;7.8901691440307395;2.8481237287559398;0.559828739326479;30.14955276141968;7.487110373738936;6.39434119519819;3.454781203794157;0.017313762530694624;0.02050063813020665
Agglomération Wohlen (AG);413;31.170825191521313;3.9631944487964033;2.085932355646805;0.33202081853920806;23.916843774019906;3.712303361145203;5.091890712650441;1.893225894923974;0.07615834920416166;0.05736212011576471
Centre hors des agglomération St. Moritz;94;42.39738255542448;17.002049614726495;3.323259057493619;0.8486678903850591;31.891875610501543;15.962472151218112;6.902913183897004;6.607205918671501;0.2793347035323128;0.28381094346367913
Agglomération Interlaken;264;40.39402363082488;7.098283285400999;3.3243428656398764;0.6651687077251929;24.518691847630965;5.75190475592388;11.318746641862019;4.684594212450954;1.2322422756920257;1.3273640686779176
Agglomération Lachen;309;47.152673761234055;6.602113809261398;2.6650273416806987;0.6119199789329911;30.086548947020972;5.5824305934199225;12.165954331133351;4.038786010095482;2.2351431413990364;2.290843933290514
Agglomération Amriswil - Romanshorn;532;39.56390414763859;5.148874195625847;2.7503600164672055;0.44504206043873057;27.52169117296208;4.651868656036251;8.811000283598043;2.723939819179225;0.4808526746112616;0.4983974727034941
Agglomération Brig - Visp;335;45.438612714417616;7.687485448830056;4.351525525461046;1.1634769093107626;18.419104973920486;3.7104530827045608;22.37752541824274;6.949439127873012;0.290456796793348;0.3078016240407997
Agglomération Frauenfeld;458;38.10463251581825;4.901638995049832;3.1831798617746316;0.47929442876212786;25.41439154491664;4.297483794414827;8.841558608426924;2.6087885138187437;0.6655025007000612;0.7712223311125989
Agglomération Zug;657;37.35887522207837;4.430422351981701;3.401925028757503;0.5100509403271636;26.553965408069832;4.266969550212511;7.169012199197636;1.7599408577000253;0.23397258605340027;0.1634891971855135
Agglomération Lugano (CH);622;26.469290295142798;3.7944189581761907;2.0822827990796564;0.3487538887379631;19.02066166365068;2.6684812047274553;3.474797033419017;1.6107363238050252;1.8915487989934456;2.2143881758951345
Agglomération Sierre;180;28.67707368559091;7.224933455823652;2.080298384407818;0.5650413643562551;22.61028743324485;6.244007918660689;3.9184513161338344;3.3324594728546595;0.06803655180440354;0.13327323894606052
Centre hors des agglomération Schönenwerd;122;32.72552993913371;7.85685511564873;2.0089627571353352;0.5678410211512874;21.79699639182318;5.528144925342328;7.349054581763899;4.760163049952563;1.5705162084112945;2.613438933405325
Centre hors des agglomération Reinach (AG);62;42.240080050321666;20.992083521020795;1.9034619087336728;0.8559427205142052;21.26708540949567;9.307280704236508;19.069532732092323;19.21333841818729;0.0;0.0
Centre hors des agglomération Einsiedeln;135;38.31606797344565;8.377111043745517;2.7328271129566835;0.6588940340551159;25.398705588317483;6.659493030290784;8.817691797895115;5.30159152317289;1.366843474276364;2.609712372165531
Centre hors des agglomération Sarnen;170;41.52246478391131;7.533550206382128;2.8199918776294823;0.5896291741574987;28.388353290816383;6.82840295011495;9.72922779968562;4.3131563015700465;0.5848918157798191;0.5689291790162743
Agglomération Lenzburg;335;39.34062673794721;5.311326587713571;3.082837132692751;0.5752166388326021;22.183205167503637;4.146136312233046;13.836657415029437;3.9585704052077157;0.23792702272138994;0.17990980499148126
Centre hors des agglomération Aigle;91;31.31610211598287;10.100339633336668;3.2718404484744945;1.3452723941277125;20.61419616245546;8.946694742953834;7.057118670845926;4.0962918690215755;0.37294683420698105;0.5964783353673608
Centre hors des agglomération Flawil;47;28.685941584424572;18.89041207828804;2.982253381979113;2.098827492347408;12.785481441568145;5.966358766159819;12.866723904456911;18.492789128104512;0.05148285642040614;0.09643486053686878
Centre hors des agglomération Payerne;60;30.065017984414204;10.636139369319125;2.7407376179454075;1.5984051717468764;24.940952025966947;10.14924519132524;2.3432844577875303;3.993035705546094;0.040043882714321584;0.09368904633880676
Centre hors des agglomération Kirchberg (BE);73;33.59608053432989;11.002227786223001;2.5189318121551434;0.8259880217328657;27.38298400748578;10.57012145030978;3.694164714688971;4.290139573281814;0.0;0.0
Centre hors des agglomération Sursee;126;54.57204666077114;11.375015539135882;3.259270965777005;1.5287430770827324;37.931465593410245;10.255571257406581;13.331738093062285;6.658016567932658;0.04957200852160007;0.05650417481561719
Centre hors des agglomération Wattwil;35;31.918713518508934;11.222110101513882;1.9220091227531857;0.7328874217861379;22.56106694245088;10.773404856971382;7.388515109384498;6.734489463996836;0.04712234392037724;0.11404532941875857
Centre hors des agglomération Spiez;81;43.56117994206352;13.455515993038391;3.5414390943722163;1.1557335587597837;24.52859545007567;10.92134746616138;15.491145397615629;9.43062221778802;0.0;0.0
Agglomération Monthey;186;42.04114456484053;7.954286025998511;2.587954333260744;1.0195743790128073;32.15835031365453;7.113727086648841;5.489593041197092;3.5626399998244698;1.8052468767281704;1.85111575609566
Agglomération Kreuzlingen (CH);454;29.306539301646303;4.36920150139488;2.5187669163927526;0.42699460202028905;20.830140941150745;3.7858205987568803;5.870621868498349;2.4503858705193733;0.0870095756044585;0.08436236134872585
Centre hors des agglomération Oensingen;37;35.87000465960039;16.247440350518186;1.618056044208585;1.123960813688599;33.494607008979884;16.337258931683603;0.7573416064119214;0.9517231009169907;0.0;0.0
Centre hors des agglomération Döttingen-Böttstein;36;40.915343029981194;17.141301014815067;4.4212256397880045;2.5435347268464903;27.038410669288286;16.69387621713355;8.733323235671339;6.29106073898085;0.7223834852335695;1.0770785537208447
Centre hors des agglomération Weinfelden;63;41.70040085765915;13.829713693129506;2.1654602514757273;0.607449528171811;26.752070453895804;12.235794969700384;12.473826186413472;8.379371539720387;0.30904396587413996;0.4374224641458232
Centre hors des agglomération Arth;107;43.491333872878855;9.099625678705703;1.7485341609820506;0.49139069427353094;32.12124255830415;9.15356148645602;9.546291905658464;4.191650918002909;0.07526524793418916;0.10192481665136537
Centre hors des agglomération Zermatt;16;40.722212556649936;34.08245859012891;3.2888216699230957;1.7657032587401393;28.122260740294575;33.715391771366164;7.896853380059012;9.81532903792655;1.414276766373251;2.2905280926920972
Centre hors des agglomération Langenthal;68;40.11342195410382;12.147154514325143;2.4859989790522197;0.8975539900939029;23.00942587420362;10.412512965141385;14.413491093835693;8.382168125545093;0.204506007012286;0.4043281142453824
Centre hors des agglomération Landquart;98;48.06210472030599;12.544972977755004;2.5898257600842207;0.7926319088025707;38.05041065470546;11.674501811797564;7.34343062663296;6.373025675721767;0.07843767888334943;0.17240301447643702
Centre hors des agglomération Murten;32;64.62717840788363;29.279064567932316;2.930178251871079;1.1750296873757429;49.10409937066384;25.499627843410362;12.359279583078257;18.306531725269576;0.23362120227047306;0.4146437381496737
Agglomération Stein (AG) (CH);25;62.09314323181803;27.19974579796776;3.1836263735748798;2.1211672537906403;49.521870251380186;27.31118131602288;9.387646606862969;10.99999177326906;0.0;0.0
Centre hors des agglomération Uznach;28;32.43912133185907;13.492162287362769;3.7994295527415196;2.652143458578144;20.692354097743074;12.405104248769964;7.575559172288359;7.753927185600418;0.3717785090861157;0.4875897479243319
Toutes les agglomérations;43630;34.755744622027564;0.5092918701907396;2.9176837360998173;0.05089274796109932;21.787572647303303;0.4135884917813377;9.396649493655882;0.3164948195500259;0.6538387449685732;0.09961633556838773
Agglomérations de 250'000 habitants et plus;18404;33.35443938782226;0.757236191948316;2.9642087280209317;0.07833031868783778;19.954726998046223;0.6113934958920773;9.828795035193783;0.4811178171443327;0.6067086265613229;0.1384294292326292
de 50'000 à 249'000 habitants;18345;35.76280803826701;0.8061587002276772;2.8438068707979887;0.07602833801202345;23.50870144414773;0.6583269514080957;8.7145702952916;0.48773768426205494;0.6957294280296944;0.17225169051385206
de moins de 50'000 habitants;6881;38.82979701214588;1.3853590618930625;2.9426330927329136;0.1431605398280801;25.51601886246147;1.1268083941941673;9.612056295364171;0.8543182990861512;0.7590887615873287;0.2568550266175346
Agglomérations de 500'000 habitants et plus;14361;31.88148695826457;0.8238727745952057;2.9718213278790406;0.08290712412847326;18.809018792978947;0.6660377821028439;9.443661812446601;0.5164559498203417;0.6569850249599768;0.16853811681537245
de 250'000 à 499'999 habitants;4043;37.76167902893877;1.7844017113681279;2.9414309714597815;0.19608896131626288;23.38281504569703;1.4369561071551271;10.981157034360333;1.1705976857908693;0.4562759774216264;0.2152243289075535
de 100'000 à 249'000 habitants;7101;34.18706554825142;1.2225262777720267;3.019519015640801;0.1315309140601527;21.712896012232804;0.9912916002633091;8.804170687871334;0.7435661857669061;0.6504798325064777;0.2968453185922289
de 50'000 à 99'000 habitants;11244;37.3545522952283;1.0846715417700026;2.6663103577547123;0.08889418942211176;25.322743396422688;0.890244230467978;8.624060004927554;0.653847446878762;0.7414385361233583;0.20273072776285816
de moins de 50'000 habitants;6881;38.82979701214588;1.3853590618930625;2.9426330927329136;0.1431605398280801;25.51601886246147;1.1268083941941673;9.612056295364171;0.8543182990861512;0.7590887615873287;0.2568550266175346
Communes hors des agglomérations;13460;42.477559527068266;1.0215444782821022;2.491423141906326;0.08795735511736784;31.33474577810924;0.8611321756990853;7.873407244988946;0.5930601931237329;0.7779833620637487;0.2053460674891081
Communes rurales sans caractère urbain;7406;42.66564647628514;1.4128311915947829;2.4590396800602923;0.11627613758110085;31.722831528254154;1.1770964026445996;7.771607408293122;0.8275605851053051;0.7121678596775682;0.28700454975269746
Communes-centres d'agglomération (villes-centres);17086;32.17812662312592;0.8148210535769757;3.313771143907038;0.07991114808772806;17.20692941649351;0.6219811636851788;11.269096720797434;0.5621748467549371;0.388329341927938;0.10804807750374643
Communes-centres d'agglomération (centres principaux);14310;33.017701049868876;0.8762027487113994;2.7158827313413973;0.08088605783203444;21.92125727080442;0.7383857464143344;7.813835039555053;0.5117974240660471;0.5667260081680036;0.14081138441521443
Communes-centres d'agglomération (centres secondaires);3411;40.97535736701151;1.9264221168984272;2.7393836092457198;0.20284793699794565;25.651272087465454;1.5387914485800191;11.328127523719715;1.2223008090921477;1.2565741465806208;0.5344500434969233
Communes de la couronne d'agglomération;8823;39.50638525213537;1.1151097549935671;2.5854322901652687;0.12477438508113074;28.36582670788309;0.9470791564487593;7.543834836789642;0.5880875205178193;1.011291417297356;0.31201523173709433
Communes multi-orientée;3647;43.38419365417496;1.883200381297528;2.3795586493486174;0.1777220636214329;33.36019304794984;1.6545624258178766;6.594067517806086;0.9818481044536077;1.0503744390704175;0.42413847616958955
Communes-centres hors agglomération;2407;40.235844948570936;2.3486867645653757;2.801273574272188;0.20308662438101222;26.44304995073718;1.9183756078803786;10.443707527689098;1.5221120553700611;0.5478138958724738;0.32931929339975313
ECU: Espace sous influence des centres urbains;12470;40.79330270030177;0.9658670390350249;2.517109579753598;0.10211381036117544;30.023293121692078;0.8313990975599562;7.228638208236436;0.507044213274731;1.02426179061966;0.25194746497760734
ECU: Espace des centres urbains;37214;34.0136121702562;0.5563033116232703;2.9876288696274504;0.053437714177184674;20.561650819894147;0.44641068725935945;9.901379483577447;0.3575423862729256;0.5629529971571533;0.09293986954659386
TC9: Commune urbaine d'une grande agglomération;13929;31.533371563553665;0.875596449669639;3.0881225075758776;0.08644475405040897;17.45284168640362;0.6829978729634791;10.41795093262588;0.582143141157224;0.5744564369482877;0.15583300317082943
TC9: Commune urbaine d'une agglomération moyenne;14779;34.977052618798545;0.892894473405425;2.9103500626731864;0.08396520107545027;22.38701575293654;0.7306589061416318;9.186568014382189;0.5573381228220669;0.4931187888066308;0.13496281247219416
TC9: Commune urbaine d'une petite ou hors agglomération;8579;39.16827887578212;1.241475927977892;2.844112886362947;0.11630904341604338;25.820214829799024;1.0188439930152284;9.825634232449705;0.7755863127915238;0.6783169271704461;0.21079292715716902
TC9: Commune périurbaine de forte densité;3547;41.201494032355704;1.911031787567772;2.6167205269042846;0.17708425006902737;29.39181005726889;1.6737970883856683;8.221966720287124;1.0012193005076722;0.970996727895406;0.4222871596460908
TC9: Commune périurbaine de moyenne densité;6169;40.471243766611515;1.3289604575898775;2.6205487647937935;0.15957872743271406;29.83635858478965;1.1469167624578436;6.964128035561161;0.6724066569319004;1.0502083814669114;0.3867507567514571
TC9: Commune périurbaine de faible densité;2791;41.89337423587794;2.0773743667859703;2.21993348492318;0.1853195296344436;32.11269442993449;1.747185845427932;6.536649865519619;1.1470634376089996;1.0240964555006586;0.5015442453619611
TC9: Commune d'un centre rural;2014;38.37365640684033;2.3609890205557664;2.5772796849953474;0.22391823772409278;27.85861164798661;1.990127027561531;7.304332169610359;1.3974107545244316;0.6334329042480183;0.4597330549536752
TC9: Commune rurale en situation centrale;3743;43.587947672911056;1.964185093563572;2.4439339242654325;0.17133067386828868;33.27013030238548;1.729278686201759;7.09952878707097;0.9924433174218931;0.7743546591891654;0.44708369346063415
TC9: Commune rurale périphérique;1539;45.21197570171016;3.565963463535698;2.2919744342650765;0.22485865455342519;32.05937058838623;2.59809909675844;10.15929208371106;2.5263050478234814;0.7013385953477926;0.6121192577810444
